Date,Price Index,Index Type
1/11/2006,132.5,Food
1/12/2006,134.4,Food
1/1/2007,133.8,Food
1/2/2007,136.4,Food
1/3/2007,137.4,Food
1/4/2007,140.6,Food
1/5/2007,144.7,Food
1/6/2007,154,Food
1/7/2007,160.1,Food
1/8/2007,166.4,Food
1/9/2007,175.3,Food
1/10/2007,178.2,Food
1/11/2007,185.1,Food
1/12/2007,190.8,Food
1/1/2008,199.6,Food
1/2/2008,215.2,Food
1/3/2008,218.1,Food
1/4/2008,217.1,Food
1/5/2008,218.3,Food
1/6/2008,224.1,Food
1/7/2008,220.2,Food
1/8/2008,208.6,Food
1/9/2008,196.5,Food
1/10/2008,172.4,Food
1/11/2008,157.1,Food
1/12/2008,148,Food
1/1/2009,146.2,Food
1/2/2009,141.2,Food
1/3/2009,143,Food
1/4/2009,147.4,Food
1/5/2009,157.5,Food
1/6/2009,158,Food
1/7/2009,154.1,Food
1/8/2009,159.4,Food
1/9/2009,159.8,Food
1/10/2009,162.8,Food
1/11/2009,174.7,Food
1/12/2009,177.9,Food
1/1/2010,179.8,Food
1/2/2010,175.9,Food
1/3/2010,168.4,Food
1/4/2010,170,Food
1/5/2010,169.5,Food
1/6/2010,168.1,Food
1/7/2010,172.5,Food
1/8/2010,182.8,Food
1/9/2010,194,Food
1/10/2010,204.8,Food
1/11/2010,212.7,Food
1/12/2010,223.1,Food
1/1/2011,231.1,Food
1/2/2011,237.7,Food
1/3/2011,231.7,Food
1/4/2011,234.8,Food
1/5/2011,232.4,Food
1/1/1990,108.1,Meat
1/2/1990,113.1,Meat
1/3/1990,115.4,Meat
1/4/1990,127.5,Meat
1/5/1990,127.4,Meat
1/6/1990,127.9,Meat
1/7/1990,126.3,Meat
1/8/1990,123.8,Meat
1/9/1990,131.5,Meat
1/10/1990,130,Meat
1/11/1990,127,Meat
1/12/1990,130,Meat
1/1/1991,128,Meat
1/2/1991,133.9,Meat
1/3/1991,126.6,Meat
1/4/1991,122.2,Meat
1/5/1991,123.3,Meat
1/6/1991,121.8,Meat
1/7/1991,121.4,Meat
1/8/1991,120.2,Meat
1/9/1991,123.1,Meat
1/10/1991,126.2,Meat
1/11/1991,131,Meat
1/12/1991,127.1,Meat
1/1/1992,125.6,Meat
1/2/1992,129.6,Meat
1/3/1992,124.2,Meat
1/4/1992,123.5,Meat
1/5/1992,125.3,Meat
1/6/1992,126.8,Meat
1/7/1992,125.7,Meat
1/8/1992,126.6,Meat
1/9/1992,124.5,Meat
1/10/1992,122.8,Meat
1/11/1992,128,Meat
1/12/1992,119.9,Meat
1/1/1993,121.9,Meat
1/2/1993,121.4,Meat
1/3/1993,121.2,Meat
1/4/1993,117.7,Meat
1/5/1993,119,Meat
1/6/1993,119.7,Meat
1/7/1993,118.8,Meat
1/8/1993,114.9,Meat
1/9/1993,116.2,Meat
1/10/1993,117.7,Meat
1/11/1993,116.7,Meat
1/12/1993,111.7,Meat
1/1/1994,112.9,Meat
1/2/1994,113.4,Meat
1/3/1994,112.1,Meat
1/4/1994,111.3,Meat
1/5/1994,117.7,Meat
1/6/1994,114.5,Meat
1/7/1994,114.7,Meat
1/8/1994,117.2,Meat
1/9/1994,117.1,Meat
1/10/1994,116.9,Meat
1/11/1994,119,Meat
1/12/1994,113.3,Meat
1/1/1995,111.4,Meat
1/2/1995,118.8,Meat
1/3/1995,121,Meat
1/4/1995,117.2,Meat
1/5/1995,115.8,Meat
1/6/1995,113,Meat
1/7/1995,119.2,Meat
1/8/1995,118.4,Meat
1/9/1995,123.1,Meat
1/10/1995,124.9,Meat
1/11/1995,121.5,Meat
1/12/1995,116.9,Meat
1/1/1996,124.1,Meat
1/2/1996,123.2,Meat
1/3/1996,126.8,Meat
1/4/1996,124.7,Meat
1/5/1996,130.7,Meat
1/6/1996,130,Meat
1/7/1996,129.7,Meat
1/8/1996,134,Meat
1/9/1996,133.3,Meat
1/10/1996,130,Meat
1/11/1996,127.9,Meat
1/12/1996,126.6,Meat
1/1/1997,121.6,Meat
1/2/1997,125.1,Meat
1/3/1997,130,Meat
1/4/1997,129.8,Meat
1/5/1997,131.6,Meat
1/6/1997,125.7,Meat
1/7/1997,123.8,Meat
1/8/1997,123,Meat
1/9/1997,120.3,Meat
1/10/1997,118.8,Meat
1/11/1997,118.5,Meat
1/12/1997,109.9,Meat
1/1/1998,107.2,Meat
1/2/1998,108.3,Meat
1/3/1998,109.3,Meat
1/4/1998,108.2,Meat
1/5/1998,104.1,Meat
1/6/1998,104.8,Meat
1/7/1998,100.8,Meat
1/8/1998,99.5,Meat
1/9/1998,99.3,Meat
1/10/1998,99.3,Meat
1/11/1998,98.1,Meat
1/12/1998,99.5,Meat
1/1/1999,97.7,Meat
1/2/1999,98.1,Meat
1/3/1999,98.4,Meat
1/4/1999,95.9,Meat
1/5/1999,96.1,Meat
1/6/1999,96.7,Meat
1/7/1999,97.8,Meat
1/8/1999,100.3,Meat
1/9/1999,98.7,Meat
1/10/1999,98.3,Meat
1/11/1999,98.9,Meat
1/12/1999,96.5,Meat
1/1/2000,93.3,Meat
1/2/2000,98.5,Meat
1/3/2000,99.5,Meat
1/4/2000,96.9,Meat
1/5/2000,96.8,Meat
1/6/2000,97.4,Meat
1/7/2000,96.7,Meat
1/8/2000,94.7,Meat
1/9/2000,93.4,Meat
1/10/2000,92.7,Meat
1/11/2000,93,Meat
1/12/2000,96.7,Meat
1/1/2001,90.1,Meat
1/2/2001,96,Meat
1/3/2001,100.7,Meat
1/4/2001,99.4,Meat
1/5/2001,100.1,Meat
1/6/2001,97,Meat
1/7/2001,96.6,Meat
1/8/2001,97.2,Meat
1/9/2001,97.9,Meat
1/10/2001,95.8,Meat
1/11/2001,93.8,Meat
1/12/2001,93.4,Meat
1/1/2002,91.4,Meat
1/2/2002,92.1,Meat
1/3/2002,94.4,Meat
1/4/2002,91.2,Meat
1/5/2002,89.6,Meat
1/6/2002,90.1,Meat
1/7/2002,90.7,Meat
